Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
502,1.08992578,1.09581896,1.09432428,1.0991322,0.00149467,-0.00920642,1634010874373,1634010874155,1634010873875,0.0014,0,1,1
503,1.08992578,1.09581896,1.0944345,1.0991322,0.00138445,-0.00920642,1634010874477,1634010874256,1634010873875,0.0013,0,1,1
504,1.08992578,1.09581896,1.09430424,1.0991322,0.00151471,-0.00920642,1634010874583,1634010874336,1634010873875,0.0014,0,1,1
505,1.08992578,1.09581896,1.0944345,1.0991322,0.00138445,-0.00920642,1634010874790,1634010874452,1634010874517,0.0013,0,1,1
506,1.08992578,1.09581896,1.09430424,1.0991322,0.00151471,-0.00920642,1634010875843,1634010875571,1634010875677,0.0014,0,1,1
507,1.08992578,1.09581896,1.09437438,1.0991322,0.00144457,-0.00920642,1634010876881,1634010876657,1634010876637,0.0013,0,1,1
508,1.08992578,1.09581896,1.09431426,1.0991322,0.00150469,-0.00920642,1634010876983,1634010876730,1634010876846,0.0014,0,1,1
509,1.08992578,1.09581896,1.09430424,1.0991322,0.00151471,-0.00920642,1634010877374,1634010877159,1634010876944,0.0014,0,1,1
510,1.08939684,1.09581896,1.09430424,1.0991322,0.00151471,-0.00973536,1634010880875,1634010880663,1634010880607,0.0014,1,1,1
511,1.08939684,1.09581896,1.0940838,1.0991322,0.00173515,-0.00973536,1634010880978,1634010880757,1634010880786,0.0016,0,1,1
512,1.08955652,1.09581896,1.0940838,1.0991322,0.00173515,-0.00957568,1634010881074,1634010880860,1634010880786,0.0016,1,1,1
513,1.08970622,1.09581896,1.09442448,1.0991322,0.00139447,-0.00942598,1634010881186,1634010880964,1634010881070,0.0013,2,1,1
514,1.08975612,1.09581896,1.0944345,1.0991322,0.00138445,-0.00937608,1634010881276,1634010881065,1634010881093,0.0013,2,1,1
515,1.08989584,1.09581896,1.0944345,1.0991322,0.00138445,-0.00923636,1634010881384,1634010881155,1634010881093,0.0013,1,1,1
516,1.08975612,1.09581896,1.0944345,1.0991322,0.00138445,-0.00937608,1634010881480,1634010881260,1634010881093,0.0013,1,1,1
517,1.08999564,1.09581896,1.0944345,1.0991322,0.00138445,-0.00913656,1634010881585,1634010881365,1634010881093,0.0013,1,1,1
518,1.0900156,1.09581896,1.0944345,1.0991322,0.00138445,-0.0091166,1634010883392,1634010883148,1634010883275,0.0013,1,1,1
519,1.0899657,1.09581896,1.09459482,1.0991322,0.00122413,-0.0091665,1634010883892,1634010883666,1634010883275,0.0011,2,1,1
520,1.08998566,1.09581896,1.0945848,1.0991322,0.00123415,-0.00914654,1634010883978,1634010883763,1634010883275,0.0011,2,1,1
521,1.08985592,1.09581896,1.0944345,1.0991322,0.00138445,-0.00927628,1634010884091,1634010883847,1634010883933,0.0013,2,1,1
522,1.08992578,1.09581896,1.0944345,1.0991322,0.00138445,-0.00920642,1634010884274,1634010884019,1634010884163,0.0013,1,1,1
523,1.0898659,1.09581896,1.0944345,1.0991322,0.00138445,-0.0092663,1634010884380,1634010884133,1634010884163,0.0013,1,1,1
524,1.08985592,1.09581896,1.0944345,1.0991322,0.00138445,-0.00927628,1634010884576,1634010884229,1634010884429,0.0013,1,1,1
525,1.08998566,1.09581896,1.0944345,1.0991322,0.00138445,-0.00914654,1634010885199,1634010884914,1634010884429,0.0013,1,1,1
